DESIG,OBSID,RA,DEC,SN/g,SUBCLASS
LAMOST J002936.87+354332.8,468814051,7.403666,35.725792,69.59,M
LAMOST J095734.55+322837.2,18609192,149.393961,32.477009,51.86,G
LAMOST J042117.91+455656.2,364016097,65.324651,45.948971,67.55,Ap
LAMOST J062716.60-014943.7,898314128,96.819207,-1.828826,58.54,B
LAMOST J224026.16+313859.6,1215200,340.109014,31.649899,103.49,F
LAMOST J195617.28+244034.0,461510028,299.072009,24.676126,91.4,A
LAMOST J063807.34+223639.4,220001048,99.530597,22.610971,143.86,A
LAMOST J110516.37+275816.0,14208192,166.318216,27.971125,75.67,G
LAMOST J042700.05+242115.0,421216225,66.750224,24.354191,59.71,M
LAMOST J052307.13+293253.0,15515185,80.779714,29.548076,59.76,G
LAMOST J061849.14+053934.3,442716154,94.705264,5.660238,220.9,A
LAMOST J052230.04+340505.7,255001205,80.625174,34.084919,332.98,Ap
LAMOST J093508.55+271813.3,8104132,143.785652,27.303715,73.15,F
LAMOST J064716.31+111240.8,415707168,101.81796,11.211352,91.62,Ap
LAMOST J005015.26+341457.9,14605124,12.563595,34.249426,54.88,G
LAMOST J030546.19+445506.0,393614078,46.442494,44.918334,115.6,A
LAMOST J064620.27+123956.2,415708156,101.58446,12.665632,64.8,A
LAMOST J233433.30+330533.9,711234,353.638779,33.092766,113.37,F
LAMOST J232338.90+320409.8,714118,350.912101,32.069412,50.52,F
LAMOST J020439.90+541617.0,380804088,31.166291,54.271391,380.14,B
LAMOST J040332.47+293847.2,1409111,60.885295,29.646448,51.6,F
LAMOST J233828.23+294914.2,707110,354.617635,29.820628,59.09,F
LAMOST J030120.52-082431.2,55408177,45.33552,-8.40869,144.01,K
LAMOST J064637.54+051612.6,42813135,101.65643,5.270194,101.53,Ap
LAMOST J055945.36+050700.1,483612185,89.939028,5.116722,57.8,M
